option_price,underlying_price
0.990017,142
0.990017,146
0.990017,150
0.990017,154
0.990017,158
0.990017,162
0.996402,166
0.996402,170
0.996402,174
0.996402,178
0.996402,182
0.996402,186
0.996402,190
0.998727,194
0.998727,198
0.998727,202
0.998727,206
0.998727,210
0.998727,214
0.999554,218
0.999554,222
0.999554,226
0.999554,230
0.999554,234
0.999554,238
0.999554,242
0.999844,246
0.999844,250
0.999844,254
0.999844,258
0.999844,262
0.999844,266
0.999844,270
0.999946,274
0.999946,278
0.999946,282
0.999946,286
0.999946,290
0.999946,294
0.999982,298
0.999982,302
0.999982,306
0.999982,310
0.999982,314
0.999982,318
0.999982,322
0.999996,326
0.999996,330
0.999996,334
0.999996,338
0.999996,342
0.999996,346
0.999996,350
1,354
1,358
1,362
1,366
1,370
1,374
1.00001,378
